IN_Deal,IN_Order,OUT_Trade_ID,OUT_Profit,OUT_Commission,OUT_Swap,MT5_Net,EA_Profit,Diff,Trade_Duration_Minutes,IN_MT_MASTER_DATE_TIME,OUT_CST_Date_OP_03,OUT_CST_Time_OP_03
318,318,319,16.27,0,-26.88,-10.61,16.27,26.88,3070,"2025.10.03 22:01:01","2025-10-05","17:12:00"
1382,1382,1383,66.17,0,-16.57,49.6,66.17,16.57,3037,"2025.10.17 23:14:00","2025-10-19","17:51:00"
222,222,223,-24.08,0,-9.35,-33.43,-24.08,9.350000000000001,124,"2025.10.02 22:59:00","2025-10-02","17:03:00"
522,522,523,19.58,0,-8.35,11.229999999999999,19.58,8.35,194,"2025.10.07 21:55:01","2025-10-07","17:10:00"
2920,2920,2921,65.22,0,-8.09,57.129999999999995,65.22,8.090000000000003,2978,"2025.11.07 23:47:01","2025-11-09","17:26:00"
3556,3556,3557,-7.74,0,0,-7.74,0,7.74,36,"2025.11.14 23:18:01","2025-11-14","15:54:59"
3554,3554,3555,7.52,0,0,7.52,0,-7.52,180,"2025.11.14 20:18:00","2025-11-14","15:18:00"
1140,1140,1141,83.25,0,-7.48,75.77,83.25,7.480000000000004,168,"2025.10.15 22:58:01","2025-10-15","17:47:00"
1046,1046,1047,27.22,0,-7.05,20.169999999999998,27.22,7.050000000000001,130,"2025.10.14 23:53:01","2025-10-14","18:03:01"
1602,1602,1603,0.67,0,-4.87,-4.2,0.67,4.87,94,"2025.10.21 23:32:00","2025-10-21","17:06:01"
1916,1916,1917,-219.85,0,4.8,-215.04999999999998,-219.85,-4.800000000000011,2994,"2025.10.24 23:07:00","2025-10-26","17:01:00"
124,124,125,-61.45,0,3.97,-57.480000000000004,-61.45,-3.969999999999999,125,"2025.10.01 23:26:02","2025-10-01","17:32:00"
632,632,633,-31.98,0,3.35,-28.63,-31.98,-3.3500000000000014,77,"2025.10.08 23:58:00","2025-10-08","17:15:00"
424,424,425,-6.4,0,3.34,-3.0600000000000005,-6.4,-3.34,133,"2025.10.06 22:56:01","2025-10-06","17:09:01"
2438,2438,2439,-38.63,0,3.2,-35.43,-38.63,-3.200000000000003,3120,"2025.10.31 22:01:00","2025-11-02","17:01:00"
2150,2150,2151,-1.15,0,-3.13,-4.279999999999999,-1.15,3.1299999999999994,135,"2025.10.28 22:46:02","2025-10-28","17:01:03"
946,946,947,9.54,0,3.1,12.639999999999999,9.54,-3.0999999999999996,190,"2025.10.13 22:27:00","2025-10-13","17:37:01"
2356,2356,2357,43.88,0,-3,40.88,43.88,3,157,"2025.10.30 22:38:00","2025-10-30","17:15:00"
740,740,741,-52.9,0,2.99,-49.91,-52.9,-2.990000000000002,87,"2025.10.09 23:50:00","2025-10-09","17:17:00"
1258,1258,1259,18.83,0,2.51,21.339999999999996,18.83,-2.509999999999998,142,"2025.10.16 23:57:03","2025-10-16","18:20:00"
3060,3060,3061,-14.31,0,-2.48,-16.79,-14.31,2.4799999999999986,101,"2025.11.10 23:40:05","2025-11-10","17:21:05"
2840,2840,2841,3.25,0,-2.44,0.81,3.25,2.44,127,"2025.11.06 23:43:01","2025-11-06","17:51:00"
1480,1480,1481,-17.11,0,2.13,-14.98,-17.11,-2.129999999999999,126,"2025.10.20 22:56:00","2025-10-20","17:02:00"
1788,1788,1789,-25.19,0,1.89,-23.3,-25.19,-1.8900000000000006,102,"2025.10.23 23:45:01","2025-10-23","17:28:00"
1694,1694,1695,-31.14,0,1.84,-29.3,-31.14,-1.8399999999999999,142,"2025.10.22 23:37:00","2025-10-22","17:59:02"
2036,2036,2037,-7.74,0,1.36,-6.38,-7.74,-1.3600000000000003,139,"2025.10.27 22:57:02","2025-10-27","17:16:02"
2268,2268,2269,27.34,0,1.08,28.42,27.34,-1.0800000000000018,144,"2025.10.29 22:54:00","2025-10-29","17:18:02"
2754,2754,2755,-3.08,0,0.98,-2.1,-3.08,-0.98,79,"2025.11.05 23:52:02","2025-11-05","17:12:00"
2642,2642,2643,36.74,0,0.96,37.7,36.74,-0.9600000000000009,159,"2025.11.04 22:34:01","2025-11-04","17:14:00"
2546,2546,2547,29.4,0,0.96,30.36,29.4,-0.9600000000000009,157,"2025.11.03 23:12:00","2025-11-03","17:49:00"
3206,3206,3207,7.25,0,0.84,8.09,7.25,-0.8399999999999999,87,"2025.11.11 23:50:02","2025-11-11","17:17:03"
3448,3448,3449,-16.28,0,0.79,-15.490000000000002,-16.28,-0.7899999999999991,132,"2025.11.13 22:50:00","2025-11-13","17:02:00"
3354,3354,3355,42.23,0,0.79,43.019999999999996,42.23,-0.7899999999999991,133,"2025.11.12 23:46:01","2025-11-12","18:00:00"
