IN_Deal,IN_Order,OUT_Trade_ID,OUT_Profit,OUT_Commission,OUT_Swap,MT5_Net,EA_Profit,Diff
318,318,319,16.27,0,-26.88,-10.61,16.27,26.88
1382,1382,1383,66.17,0,-16.57,49.6,66.17,16.57
222,222,223,-24.08,0,-9.35,-33.43,-24.08,9.350000000000001
522,522,523,19.58,0,-8.35,11.229999999999999,19.58,8.35
2920,2920,2921,65.22,0,-8.09,57.129999999999995,65.22,8.090000000000003
3556,3556,3557,-7.74,0,0,-7.74,0,7.74
3554,3554,3555,7.52,0,0,7.52,0,-7.52
1140,1140,1141,83.25,0,-7.48,75.77,83.25,7.480000000000004
1046,1046,1047,27.22,0,-7.05,20.169999999999998,27.22,7.050000000000001
1602,1602,1603,0.67,0,-4.87,-4.2,0.67,4.87
1916,1916,1917,-219.85,0,4.8,-215.04999999999998,-219.85,-4.800000000000011
124,124,125,-61.45,0,3.97,-57.480000000000004,-61.45,-3.969999999999999
632,632,633,-31.98,0,3.35,-28.63,-31.98,-3.3500000000000014
424,424,425,-6.4,0,3.34,-3.0600000000000005,-6.4,-3.34
2438,2438,2439,-38.63,0,3.2,-35.43,-38.63,-3.200000000000003
2150,2150,2151,-1.15,0,-3.13,-4.279999999999999,-1.15,3.1299999999999994
946,946,947,9.54,0,3.1,12.639999999999999,9.54,-3.0999999999999996
2356,2356,2357,43.88,0,-3,40.88,43.88,3
740,740,741,-52.9,0,2.99,-49.91,-52.9,-2.990000000000002
1258,1258,1259,18.83,0,2.51,21.339999999999996,18.83,-2.509999999999998
