signal_metric,outcome_metric,correlation_mean,correlation_std,correlation_count,p_value_mean,significant_sum,n_samples_sum,consistency,robustness_score
Acceleration,Profit,0.08651670672173196,0.0793503235031601,9,0.3695254993248917,3,3808,0.9264832540693376,0.18456665538009132
Speed,IsWin,0.08708697202785715,0.13445444428588896,9,0.22828381042919169,4,3808,0.8814809665005766,0.17675911500488586
Acceleration,RRatio,0.07750119118854013,0.08437197264012654,9,0.4583981384929127,1,3808,0.9221927763083864,0.16456814822088517
Acceleration,ProfitPercent,0.07750119118854013,0.08437197264012654,9,0.4583981384929127,1,3808,0.9221927763083864,0.16456814822088517
Acceleration,Pips,0.07556637613989853,0.07687771467320115,9,0.4643734602192622,2,3808,0.9286105435875501,0.16157638779266062
Acceleration,IsWin,0.07590978131816656,0.09045768977894171,9,0.3634074039368523,1,3808,0.9170461260195438,0.16028932852138583
Jerk,Profit,0.06924714761255764,0.1036837068692767,9,0.3605608054890162,3,3808,0.9060566843345118,0.14446842771406326
Jerk,Pips,0.06399873011072388,0.10101803345002984,9,0.4127787558890376,3,3808,0.9082503370689662,0.1338420602083536
Jerk,RRatio,0.06313438502553546,0.10338246570901723,9,0.4006134871611556,3,3808,0.9063040523826114,0.13175149898882108
Jerk,ProfitPercent,0.06313438502553546,0.10338246570901723,9,0.4006134871611556,3,3808,0.9063040523826114,0.13175149898882108
Speed,ProfitPercent,0.05693142279536281,0.09985389536835022,9,0.3215241284656432,4,3808,0.9092116727604912,0.11918805398024332
Speed,RRatio,0.05693142279536281,0.09985389536835022,9,0.3215241284656432,4,3808,0.9092116727604912,0.11918805398024332
Speed,Profit,0.05242428876514162,0.1070259479822022,9,0.32951524381364217,3,3808,0.903321192988041,0.10904115304745417
Speed,Pips,0.0516250682104664,0.09506959003695835,9,0.3329144088208238,2,3808,0.9131839739666685,0.10855119489000592
Momentum,IsWin,0.052955414580731504,0.12865325444352235,9,0.23532115110922763,2,3808,0.8860117100296191,0.10803526036615303
Quality,IsWin,0.04407432610694881,0.05220619183134757,9,0.5480466411484062,2,3808,0.9503840670805371,0.09644961896772898
Confluence,IsWin,0.043757024072031706,0.12093005055879082,9,0.25922266731853577,2,3808,0.8921163274206928,0.08988453052161031
Momentum,ProfitPercent,0.036027126791553565,0.10237190915292,9,0.43517970179196697,1,3808,0.9071348713597173,0.07525184958439478
Momentum,RRatio,0.036027126791553565,0.10237190915292,9,0.43517970179196697,1,3808,0.9071348713597173,0.07525184958439478
Momentum,Profit,0.03366396730513285,0.1094996640378453,9,0.40559240658273077,1,3808,0.9013071679180695,0.06986405836819957
Momentum,Pips,0.030657222089386038,0.09749120773498048,9,0.38278034805028643,1,3808,0.9111690307422285,0.06432020783229288
Quality,RRatio,0.02639355746551222,0.0631031186543948,9,0.5387517624397431,0,3808,0.9406425232443428,0.05716605558272944
Quality,ProfitPercent,0.02639355746551222,0.0631031186543948,9,0.5387517624397431,0,3808,0.9406425232443428,0.05716605558272944
Quality,Profit,0.0251474719267899,0.06370042730580923,9,0.547497994724148,0,3808,0.9401143163332625,0.054436561741142815
Quality,Pips,0.022372381131061568,0.06792978023556145,9,0.5102143781558185,0,3808,0.9363911546500955,0.04823754542719161
Jerk,IsWin,0.018830364910651032,0.13215586501448284,9,0.4395347206384226,0,3808,0.8832706086694236,0.03829730417759094
Confluence,Profit,0.005733881229225431,0.10215700619607951,9,0.3846241980658746,1,3808,0.9073117481250169,0.01197900967755951
Confluence,ProfitPercent,0.003972484699736949,0.09851634099046476,9,0.40436805392629427,0,3808,0.9103187296225028,0.008326670901876573
Confluence,RRatio,0.003972484699736949,0.09851634099046476,9,0.40436805392629427,0,3808,0.9103187296225028,0.008326670901876573
Confluence,Pips,0.0017292002589352946,0.0944650988953779,9,0.4083245832275044,0,3808,0.9136883405503569,0.0036379695826248234
